"","Attached is the billing receipt from company, our ticketing system provider. ",""
"","read -p ""Enter your birth year.  Example: 1900 : "" year
read -p ""Enter your birht month. Example: 06 "" month

yearnow=$(date '+%Y')
monthnow=$(date '+%m')

agey=$(($yearnow-$year))
agem=$(($monthnow-$month))

if [ $agem -lt 0 ] ; then
   agem=$(($monthnow-$month+12))
else
   agem=$(($monthnow-$month))
fi
echo ""You are $agey years and $agem months old!",""
"","d ",""
"","var url = TextExpander.pasteboardText;
var youtubeRx = /(?:youtu\.be\/|youtube\.com\/watch\?v=)([a-z0-9_\-]+)$/i

if (youtubeRx.test(url)) {
	var id = youtubeRx.exec(url)[1];
	TextExpander.appendOutput(`{{< youtube ${id} >}}`);
}","Z ticket"
"$Febu","February",""
"$aa","Abdallah Anwar","Full Name"
"$age","var dob = new Date(""08/11/1982"");   
var month_diff = Date.now() - dob.getTime();   
var age_dt = new Date(month_diff);    
var year = age_dt.getUTCFullYear();   
var age = Math.abs(year - 1970);    

let result = + age 

result
","My age"
"$agm","مساء الخير يا حبيبتي ❤️😘"," Arabic good morning "
"$agod","‏الحمد لله ❤️","Arabic Thanks be to God"
"$aluv","‏حبيبتي انت","Arabic love"
"$amal","‏شكرا يا أمي يا حبيبتي","Mom thanks"
"$aps","AppleScript","AppleScript"
"$ar"," ‏‏حياتي انت فين؟","Arabic question "
"$asu","sudo softwareupdate --install --all --restart --include-config-data","Apple Software Update"
"$baba","‏شكرا يا بابا حبيبي. ‏ربنا يخليك ليا.","Majdi"
"$btw","By the way,","By the way..."
"$cask","brew search --casks","Casks"
"$chew","altruism","Altruism"
