"","Hello,<br /><br />We’re sorry that you’ve experienced the problem you described below and apologize for the inconvenience it’s caused. For your security we only assist with password resets with our live agents. To chat with an agent, please click the blue chat button in the lower right-hand corner of the&nbsp;<a href=""https://centurylinkwebmail.s.center/hc/en-us""><u><span style=""color:#337ab7;"">Help Center</span></u></a>&nbsp;(9:00-6:00 CT, Monday-Friday).<br /><br />Have a great day!<br /><br />CenturyLink Email Support","Password Reset Request"
",,aclosing","<span style=""color:#0e101a;"">Have a great day!</span><br /><span style=""color:#0e101a;"">&nbsp;</span><br /><span style=""color:#0e101a;"">CenturyLink Email Support</span>","Account Closing"
",,ads","Hello,<br /><br />We’re sorry that you’ve experienced the problem you described below and apologize for the inconvenience it’s caused. Your Q.com webmail is now ad-free.<br /><br />Thank you for being a CenturyLink customer.  We appreciate your business, and we're excited about the future of email.<br /><br />If you have any more problems, please don’t hesitate to let us know.<br /><br />Have a great day!<br /><br />CenturyLink Email Support   <br />","Ads Q.com"
",,attachments","Hello,

We’re sorry that you’ve experienced the problem you described below and apologize for the inconvenience it’s caused. 
It looks like you’re going to have to execute a few steps to resolve this problem. This guide should be able to walk you through the entire process:
https://centurylinkwebmail.s.center/hc/en-us/search?utf8=%%E2%%9C%%93&query=attachment  

%snippet:,,chat%

If you have any more problems, please don’t hesitate to let us know.

Have a great day!

CenturyLink Email Support

","Attachments"
",,attend","Gabor, Perry, Katie (Lumen) AB, Brian, Miguel, Kamil (Mail2World)","Meeting Attendees"
",,awebmail","https://webmail.centurylink.net/app/?","Webmail URL"
",,cache","Hello %filltext:name=Customer Name:width=20:default=First Name%,<br />&nbsp;<br />Please try clearing your history, cache and cookies and then signing back in to your account. Let us know if this solves the problem. If not, don't hesitate to reach out again.&nbsp;We look forward to hearing back from you.<br />&nbsp;<br />%snippet:,,aclosing%","Cache Clearing"
",,chat","If you need additional assistance you will need to chat with a live agent.  To chat with an agent, please click the blue chat button in the lower right-hand corner of the Help Center (https://centurylink.net/email) (8 am – 5 pm ET, Monday-Friday). ","Chat with agent"
",,compose","Hello,<br /><br />Thank you reaching out to CenturyLink email support.   Based on your submission form it sounds like you have some questions around composing an email.   <br /><br />These articles should be able help:<br /><br /><a href=""https://centurylinkwebmail.s.center/hc/en-us/search?utf8=%E2%9C%93&query=compose""><u><span style=""color:#337ab7;"">Compose</span></u></a> <br /><br />%snippet:,,chat%<br /><br /><br />Have a great day!<br /><br />CenturyLink Email Support ","Compose"
",,contacts","Hello,<br /><br />Thank you reaching out to CenturyLink email support.   Based on your submission form it sounds like you have some questions around email contacts.   <br /><br />These articles should be able help:<br /><br /><a href=""https://centurylinkwebmail.s.center/hc/en-us/search?utf8=%E2%9C%93&category=8394076576403&query=contacts""><u><span style=""color:#337ab7;"">Contacts</span></u></a><br /><br />%snippet:,,chat% <br /><br /><br />Have a great day!<br /><br />CenturyLink Email Support<br />","Contacts"
",,delayed","Hello,<br /><br />&nbsp;<br />We’re sorry that you’ve experienced the problem you described below and apologize for the inconvenience it’s caused.<br />&nbsp;<ol><li>Ensure you can successfully log into&nbsp;<a href=""http://www.centurylink.net"">www.centurylink.net</a></li><li>Ensure your mail client settings are correct and your password is up to date in those fields.</li></ol>&nbsp;<br /><b>Username:</b>&nbsp;example@centurylink.net<br /><br /><b>POP3 Server:</b>&nbsp;pop.centurylink.net<br /><b>POP3 Port:</b>&nbsp;995 (SSL/TLS)<br /><br /><b>IMAP Server:</b>&nbsp;mail.centurylink.net<br /><b>IMAP Port:</b>&nbsp;993 (SSL/TLS)<br /><br /><b>SMTP Server:</b>&nbsp;smtp.centurylink.net<br /><b>SMTP Port:</b>&nbsp;587 (TLS) or 465 (SSL)<br />&nbsp;<br />If you need additional assistance you will need to chat with a live agent.&nbsp; To chat with an agent, please click the blue chat button in the lower right-hand corner of the&nbsp;<a href=""https://centurylinkwebmail.s.center/hc/en-us"">Help Center</a>&nbsp;(9:00-6:00 CT, Monday-Friday).<br /><br />Have a great day!<br />&nbsp;<br />CenturyLink Email Support","Delayed"
",,delete","Hello,<br /><br />Thank you reaching out to CenturyLink email support.  Based on your submission form it sounds like you have some questions around how to delete emails.  <br /><br />These articles should be able help:<br /><br /> <a href=""https://centurylinkwebmail.s.center/hc/en-us/search?utf8=%E2%9C%93&query=delete""><u><span style=""color:#337ab7;"">Delete functionality</span></u></a><br /><br />If you need additional assistance you will need to chat with a live agent.  To chat with an agent, please click the blue chat button in the lower right-hand corner of the&nbsp;<a href=""https://centurylinkwebmail.s.center/hc/en-us""><u><span style=""color:#337ab7;"">Help Center</span></u></a>&nbsp;(9:00-6:00 CT, Monday-Friday). <br /><br /><br />Have a great day!<br /><br />CenturyLink Email Support","Delete"
